PlotID,TreeID,YR,PrevYR,Status,DBH,Species,Latitude,Longitude,PA,TreeH,AGB,Country,ForestType,Bioregion,Continent,Locality
BRA-0001,BRA-0001-T01,1968,,0,18.6,Ocotea aciphylla,-9.12879,-55.18665,1.0,14.0,4.09,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 1
BRA-0001,BRA-0001-T01,1973,1968,0,19.0,Ocotea aciphylla,-9.12879,-55.18665,1.0,14.0,4.09,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 1
BRA-0001,BRA-0001-T02,1968,,0,40.4,Rhizophora mangle,-9.12879,-55.18665,1.0,17.9,2.611,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 1
BRA-0001,BRA-0001-T02,1973,1968,0,39.9,Rhizophora mangle,-9.12879,-55.18665,1.0,17.9,2.611,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 1
BRA-0001,BRA-0001-T03,1968,,0,55.3,Rhizophora mangle,-9.12879,-55.18665,1.0,35.3,2.242,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 1
BRA-0001,BRA-0001-T03,1973,1968,0,55.2,Rhizophora mangle,-9.12879,-55.18665,1.0,35.3,2.242,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 1
BRA-0001,BRA-0001-T04,1968,,0,20.9,Tsuga canadensis,-9.12879,-55.18665,1.0,30.0,4.288,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 1
BRA-0001,BRA-0001-T04,1973,1968,0,19.9,Tsuga canadensis,-9.12879,-55.18665,1.0,30.0,4.288,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 1
BRA-0001,BRA-0001-T05,1968,,0,27.6,Quercus robur,-9.12879,-55.18665,1.0,10.2,0.154,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 1
BRA-0001,BRA-0001-T05,1973,1968,0,27.3,Quercus robur,-9.12879,-55.18665,1.0,10.2,0.154,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 1
BRA-0002,BRA-0002-T01,1943,,0,10.4,Ocotea aciphylla,-8.6429,-61.54771,0.25,8.9,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 2
BRA-0002,BRA-0002-T02,1943,,0,19.8,Acer saccharum,-8.6429,-61.54771,0.25,15.9,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 2
BRA-0002,BRA-0002-T03,1943,,0,21.3,Nothofagus pumilio,-8.6429,-61.54771,0.25,13.9,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 2
BRA-0002,BRA-0002-T04,1943,,0,57.2,Shorea leprosula,-8.6429,-61.54771,0.25,8.6,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 2
BRA-0002,BRA-0002-T05,1943,,0,43.4,Inga edulis,-8.6429,-61.54771,0.25,34.6,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 2
BRA-0002,BRA-0002-T06,1943,,0,24.5,Tsuga canadensis,-8.6429,-61.54771,0.25,15.2,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 2
BRA-0002,BRA-0002-T07,1943,,0,17.3,Milicia excelsa,-8.6429,-61.54771,0.25,23.8,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 2
BRA-0002,BRA-0002-T08,1943,,0,55.6,Quercus ilex,-8.6429,-61.54771,0.25,34.4,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 2
BRA-0002,BRA-0002-T09,1943,,0,55.7,Betula pendula,-8.6429,-61.54771,0.25,11.9,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 2
BRA-0002,BRA-0002-T10,1943,,0,28.4,Nothofagus pumilio,-8.6429,-61.54771,0.25,19.2,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 2
